round,accuracy,energy,carbon
1,0.1435131467979156,1.0411124999999999,373.39353461980124
2,0.1748486789044082,1.2074375,439.573868412103
3,0.20334233933572343,1.0571125,379.089240624515
4,0.23372605601162738,1.132275,413.5379428050105
5,0.24899589475674327,0.96595,370.0564816902736
6,0.2880748042400227,1.2074375,460.2669012355981
7,0.3085001619346676,1.132275,431.84266460990995
8,0.3293307189219444,0.98195,375.7792627619766
9,0.35992515800279834,1.2074375,478.7505891313175
10,0.3792027083911567,1.132275,457.5800050349282
11,0.37945152019016415,0.96595,382.41006012855956
12,0.41021393642175785,1.0571125,427.69758159695107
13,0.4173245646144036,1.0411124999999999,411.3912981567083
14,0.4335492725950304,0.96595,379.953532305594
15,0.45940730350958175,1.132275,454.3511870938177
16,0.46413072431765806,1.132275,446.097038457168
17,0.4886737188198231,0.7244625,288.156394168537
18,0.5002448462367424,1.2074375,476.7795439877678
19,0.510469560308033,1.132275,439.11856047495337
20,0.5193526712847912,1.2074375,480.42229499425906
21,0.5204055518513994,1.132275,445.4339627028885
22,0.5439597470092579,1.0571125,418.5865634490488
23,0.5427656334440324,1.0571125,402.56371499399654
24,0.5511569271901575,0.8907875,341.24494172791896
25,0.5544687453310191,1.0571125,400.3775120648041
26,0.5734627431549952,1.0571125,404.82346538450076
27,0.5713118231871698,1.132275,422.1948445519035
28,0.5799835324708296,1.2074375,432.44737627258473
29,0.5922124126480091,1.2074375,437.6084730958449
30,0.6000822028240907,1.132275,402.7091797074837
31,0.6111083599910293,1.2074375,422.92295189241696
32,0.6099576149379919,0.8907875,310.22148455022784
33,0.608716246031528,1.132275,392.3294702874087
34,0.6103122242154674,0.98195,332.7170565990971
35,0.6276512998757974,1.2074375,402.445035458852
36,0.6162133900521254,1.2074375,395.3789148918793
37,0.6192758989330847,0.96595,311.1356462045318
38,0.6257465390486554,1.132275,358.72840714071384
39,0.6329215338799381,1.2074375,374.75816285607056
40,0.635383219503186,0.96595,296.40703187726064
41,0.641896331475954,1.2074375,356.3912311532484
42,0.6430015674396161,1.2074375,366.90914916236335
43,0.6460971308188339,0.98195,305.8199765023053
44,0.6486266918756184,1.2074375,360.2917539003443
45,0.6468228054890359,1.0411124999999999,307.66723894657906
46,0.6511608716975821,1.0411124999999999,307.76516087630677
47,0.6665271122907788,1.2074375,357.01248250916456
48,0.6622324391629026,0.96595,288.0006262836845
49,0.6521988300272432,0.5741375,174.80561780066995
50,0.6618934303559276,1.2074375,374.0815100688088
51,0.6680525278292253,1.132275,349.81321051391393
52,0.6595558062577406,0.96595,293.09331989460765
53,0.6619925453559342,1.132275,353.6770750881883
54,0.663677921379497,1.2074375,367.78951491485094
55,0.6671185487761602,0.8907875,293.1233434823879
56,0.6690651633121981,1.132275,364.9633295889818
57,0.6732845102574337,1.0571125,338.42602682934626
58,0.6723900415602849,1.0571125,344.0583873548615
59,0.6687348806565245,1.2074375,400.67907149531834
60,0.6742277900977927,1.2074375,409.3223972587833
61,0.6740489618450508,1.132275,386.8969001799282
62,0.6810369520011755,1.0411124999999999,356.85012844150214
63,0.6721271044859218,1.2074375,420.50950178756653
64,0.6780727638921019,1.2074375,437.3127047661429
65,0.671499388463629,0.96595,347.8671345216263
66,0.6728945379154629,1.0571125,389.3744930712313
67,0.6882021749630857,1.0411124999999999,379.3301798547992
68,0.6725118653079857,0.7084625,274.361904505091
69,0.678507326278765,1.2074375,453.0840767500237
70,0.6771880997554075,1.132275,431.1112182658974
71,0.6758955813535323,0.8907875,347.8537843263988
72,0.676606333690939,1.2074375,471.43144460890596
73,0.6826457643828817,1.0411124999999999,415.80944806110506
74,0.6890477521277536,1.2074375,481.8133552671913
75,0.6800731051439535,1.2074375,469.70571077883363
76,0.6850936560908156,0.96595,381.92713661491615
77,0.6823836702037795,1.132275,461.1891277760522
78,0.6887416103738568,1.2074375,490.3344874180376
79,0.6823870446330048,1.132275,454.7012587310662
80,0.6920927225548108,1.2074375,474.3691163296364
81,0.6822112398023359,0.8907875,358.9394175962417
82,0.6825872659889644,1.0571125,424.24778567922004
83,0.6858392303517074,0.96595,387.06917877811503
84,0.6783231171366805,1.132275,446.23550891416454
85,0.6856025438395025,1.132275,449.2425807801525
86,0.6844752033084467,1.2074375,472.6217946489314
87,0.6830068585624883,1.0411124999999999,399.53272480800825
88,0.6752317568463343,1.132275,433.44092210691275
89,0.6875076283723178,1.132275,433.5204714336509
90,0.6830155670353565,1.0571125,390.5325473280846
91,0.6865378751449774,0.96595,351.4832583671416
92,0.6869504885737063,1.132275,404.7738629436441
93,0.6887058861796448,1.2074375,442.64272952037754
94,0.6911962788699868,1.2074375,412.7658702870284
95,0.6897849671976877,1.2074375,417.03785409402747
96,0.6881457499179313,0.799625,269.3266317738421
97,0.6965235643830834,1.132275,382.87734937443173
98,0.6851705931388969,1.2074375,397.79415942574343
99,0.6883935032266999,1.132275,364.3840236989058
100,0.6839706503443462,1.132275,356.67625149379336
