round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.1041,0.3119,5.565091499999999,5.8769915,0.00044947147387167205
2,0.7751,0.25439999999999996,4.5345189999999995,4.788918999999999,0.0003896234376119076
3,0.8976,0.30239999999999995,5.358976999999999,5.661377,0.0006058638786156876
4,0.9269,0.27599999999999997,4.9467479999999995,5.222747999999999,0.0002061034038492591
5,0.9386,0.2228,4.12229,4.34509,0.00047846724670793284
6,0.9494,0.2589,4.7406334999999995,4.999533499999999,0.00034630420446962214
7,0.9554,0.2613,4.7406334999999995,5.0019335,0.0005133632494463098
8,0.9584,0.25179999999999997,4.5345189999999995,4.786319,0.00045783805507803297
9,0.9626,0.1651,3.0917174999999997,3.2568175,0.00032708237864288443
10,0.9653,0.2107,3.9161754999999996,4.1268755,0.0003190325606915966
11,0.9678,0.27340000000000003,4.9467479999999995,5.220147999999999,0.000501724489449441
12,0.9693,0.15819999999999998,2.8856029999999997,3.0438029999999996,0.0004275559906068069
13,0.9704,0.2278,4.12229,4.350089999999999,0.00031073395358201185
14,0.9734,0.2133,3.9161754999999996,4.1294755,0.0003438288377656917
15,0.9745,0.19169999999999998,3.5039464999999996,3.6956464999999996,0.00030374585100229745
16,0.9743,0.20379999999999998,3.7100609999999996,3.9138609999999994,0.00032000140704536187
17,0.974,0.24469999999999997,4.3284044999999995,4.5731044999999995,0.00048308388458099513
18,0.9759,0.1798,3.2978319999999997,3.4776319999999994,0.0002738324826871511
19,0.978,0.23729999999999998,4.3284044999999995,4.5657045,0.0003655962037383479
20,0.9764,0.24229999999999996,4.3284044999999995,4.570704499999999,0.00040234915049993996
21,0.9797,0.3095,5.565091499999999,5.874591499999999,0.00037458511743578883
22,0.9806,0.23489999999999997,4.3284044999999995,4.563304499999999,0.0003178342213351459
23,0.9798,0.26389999999999997,4.7406334999999995,5.004533499999999,0.00048028982219442686
24,0.9802,0.2399,4.3284044999999995,4.568304499999999,0.00031893113579862717
25,0.9805,0.1511,2.6794884999999997,2.8305884999999997,0.00036819081027761796
26,0.9818,0.2133,3.9161754999999996,4.1294755,0.00026289733083645263
27,0.9816,0.2494,4.5345189999999995,4.783918999999999,0.0003043672442720193
28,0.9825,0.22279999999999997,4.12229,4.34509,0.00044704374529877923
29,0.9828,0.33819999999999995,6.183434999999999,6.521635,0.000501054606929931
30,0.9834,0.1943,3.5039464999999996,3.6982464999999993,0.00029718635350911083
